ability	Khả năng
able	Có thể
accept	Chấp nhận
acceptable	Chấp nhận được
accident	Tai nạn
according	theo
account	tính toán
accurate	chính xác
achieve	đạt được
act	hành động
action	hành động
active	hoạt động
activity	Hoạt động
actor	Diễn viên
actual	thực tế
ad	Quảng cáo
add	thêm vào
addition	Thêm vào
additional	thêm
administration	Quyền quản trị
administrative	hành chính
admit	thừa nhận
adult	người lớn
advertising	Quảng cáo
advice	Lời khuyên
affair	Việc
affect	có ảnh hưởng đến
afford	đủ khả năng
afraid	sợ
after	sau
afternoon	buổi chiều
agency	Đại lý
agent	đại lý
aggressive	tích cực
ago	trước
agree	đồng ý
agreement	Sự đồng ý
aim	nhằm
airline	hãng hàng không
airport	Sân bay
alcohol	Rượu
alive	sống
all	tất cả
allow	cho phép
alone	một mình
alternative	thay thế
amazing	tuyệt vời
ambition	Tham vọng
analysis	Nghiên cứu
analyst	Phân tích
angry	tức giận
animal	động vật
annual	hàng năm
another	khác
answer	câu trả lời
anxiety	Lo ngại
anxious	lo lắng
any	bất kỳ
apart	ngoài
apartment	Căn hộ
appear	xuất hiện
appearance	Xuất hiện
apple	Táo
application	Ứng dụng
apply	áp dụng
appointment	Cuộc hẹn
appropriate	thích hợp
area	Khu vực
argue	tranh luận
argument	Đối số
army	Quân đội
arrange	sắp xếp
arrival	Đến
arrive	đến
art	Nghệ thuật
article	Điều khoản
ask	hỏi
asleep	ngủ
aspect	Diện mạo
assignment	Phân công
assistance	Hỗ trợ
assistant	Phụ tá
association	Sự kết hợp
assumption	Giả định
atmosphere	Không khí
attack	tấn công
attention	Chú ý
attitude	Thái độ
audience	Khán giả
automatic	tự động
available	có sẵn
avoid	tránh
aware	nhận thức
awareness	Nhận thức
away	đi
background	nền
base	căn cứ
baseball	Bóng chày
basic	cơ bản
basis	Căn cứ
basket	Cái giỏ
bathroom	Phòng tắm
be	được
beat	đánh đập
beautiful	đẹp
become	trở thành
bedroom	Phòng ngủ
beer	Bia
begin	bắt đầu
beginning	bắt đầu
believe	tin tưởng
belong	thuộc về
best	tốt nhất
better	tốt hơn
big	lớn
bird	Chim
birthday	Ngày sinh nhật
bitter	cay đắng
blood	Máu
bonus	Tiền thưởng
boring	Chán nản
born	Ngày Sinh:
both	cả hai
boyfriend	Bạn trai
brave	dũng cảm
bread	Bánh mì
break	nghỉ
breath	Hơi thở
brief	ngắn gọn
bright	sáng
brilliant	rực rỡ
broad	rộng
brown	nâu
budget	ngân sách
build	xây dựng
burn	đốt cháy
business	Kinh doanh
business	kinh doanh
busy	bận rộn
buy	mua
buyer	Người mua
cabinet	Buồng
call	gọi
calm	bình tĩnh
camera	Máy chụp hình
can	có thể
cancer	Ung thư
capable	có khả năng
capital	vốn
car	xe
care	chăm sóc
careful	cẩn thận
carry	mang
catch	catch
category	Thể loại
cause	gây ra
celebration	Lễ kỷ niệm
cell	Tế bào
certain	nhất định
championship	Chức vô địch
chance	cơ hội
change	thay đổi
chapter	Chương
character	nhân vật
charge	tính phí
charity	Bố thí
cheap	giá rẻ
check	kiểm tra
cheek	Gò má
chemical	hóa học
chemistry	Hóa học
chest	Ngực
chicken	gà
child	Trẻ em
childhood	Thời thơ ấu
chocolate	Sôcôla
choice	lựa chọn
choose	chọn
church	Nhà thờ
cigarette	Thuốc lá
city	Thành phố
civil	dân sự
claim	yêu cầu
classic	cổ điển
classroom	Lớp học
clean	sạch
clean	làm sạch
clear	rõ ràng
clear	trong sáng
client	Khách hàng
climate	Khí hậu
climb	leo
close	gần
close	gần
clothes	Quần áo
coffee	Cà phê
cold	lạnh
collect	sưu tầm
collection	Bộ sưu tập
college	Trường đại học
combination	Phối hợp
come	đến
comfortable	thoải mái
commercial	thương mại
commit	phạm
committee	Ủy ban
common	phổ biến
communication	Liên lạc
community	Cộng đồng
compare	so sánh
comparison	Sự so sánh
competition	Cuộc thi
competitive	cạnh tranh
complain	phàn nàn
complaint	Lời phàn nàn
complete	hoàn thành
complete	hoàn toàn
complex	phức tạp
comprehensive	toàn diện
computer	Máy tính
concept	Khái niệm
concern	lo lắng
conclusion	Phần kết luận
confident	tự tin
confirm	xác nhận
confusion	Nhầm lẫn
connect	kết nối
connect	liên kết
connection	Liên quan
conscious	có ý thức
consequence	Kết quả
consider	xem xét
consist	gồm có
consistent	phù hợp
constant	liên tục
construction	Xây dựng
contact	tiếp xúc
contain	chứa
content	nội dung
context	Bối cảnh
continue	tiếp tục
contract	Hợp đồng
contribute	góp phần
